1,COORDINADOR(A) DE SELECCION Y CAPACITACION
2,JEFE ALMACEN
3,COORDINADOR DE SERVICIOS GENERALES
4,TECNICO MECANICO
5,CONSULTOR JURIDICO
6,GERENTE DE GESTION DEL TALENTO HUMANO
7,ASEADOR (A)
8,MECANICO
9,AUXILIAR DE FLOTA
10,SUPERVISOR DE OPERACIONES
11,ANALISTA DE SOPORTE TECNICO
12,SUPERVISOR DE SEGURIDAD Y PROTECCION
13,ASISTENTE EJECUTIVO
14,COORDINADOR DE DESARROLLO Y AUTOMIZACION
15,JEFE DEL CENTRO DE CONTROL DE OPERACIONES
16,COORDINADOR DE PLANIFICACION DE CONTROL DE GESTION
17,COORDINADOR (A) PROVEEDURIA
18,COORDINADOR (A) DE TELECOMUNICACIONES
19,GERENTE DE SERVICIOS GENERALES
20,RECAUDADOR 
21,ANALISTA ADMINISTRATIVO
22,TESORERO (A)
23,GERENTE DE ADMINISTRACION DE FLOTA
24,SUPERVISOR (A) DE RECAUDACION
25,GERENTE DE RECAUDACION Y COMERCIALIZACION
26,COMUNICADOR (A) SOCIAL
27,OPERADOR INSTRUCTOR
28,PASANTE ADMINISTRATIVO I
29,SUPERVISOR (A) DE SERV ESPECIALES
30,COORDINADOR DEL SISTEMA DE GESTION DE LA CALIDAD
31,JEFE DE OPERACIONES
32,COORDINADOR (A) DEL SISTEMA DE GESTION DE LA CALIDAD
33,ANALISTAS DE PRESUPUESTO 
34,ANALISTA DE SISTEMAS
35,COORDINADOR (A) DE ENTRENAMIENTO
36,SUPERVISOR DE FLOTA
37,GERENTE DE OPERACIONES OESTE
38,ALMACENISTA
39,TSU SEGURIDAD INDUSTRIAL
40,LATONERO
41,GERENTE DE RECAUDACION
42,GERENTE DE OPERACIONES CARONI-SUR
43,ANALISTA DE GESTION DE LA CALIDAD
44,GERENTE DE ADMINISTRACION Y FINANZAS
45,INSPECTOR DE SEGURIDAD Y SALUD LABORAL
46,ANALISTA DE PRESUPUESTO
47,GERENTE DE TECNOLOGIA
48,INSPECTOR DE SEGURIDAD Y PROTECCION
49,ANALISTA DEL TALENTO HUMANO
50,ANALISTA LEGAL
51,COORDINADOR DE RECAUDACION
52,COORDINADOR DE RELACIONES LABORALES
53,COORDINADOR DE SOPORTE TECNICO
54,COORDINADOR DE FORMULACION Y EJECUCION PRESUPUESTARIA
55,ASISTENTE ADMINISTRATIVO
56,COORDINADORA DE COMPRAS
57,OPERADOR INTERURBANO I
58,GERENTE GENERAL ADMINISTRATIVO
59,INSPECTOR DE SEGURIDAD Y PROTECCION
60,CAUCHERO
61,ANALISTA CONTABLE
62,GERENTE DE PLANIFICACION Y PRESUPUESTO
63,COORDINADOR DE SEGUROS 
64,AUXILIAR DE MECANICA
65,ANALISTA DE COMPRAS
66,SUPERVISOR (A) DE MANTENIMIENTO
67,AUXILIAR DE SERVICIOS GENERALES
68,JEFE DE MANTENIMIENTO
69,ELECTROMECANICO
70,RECAUDADOR
71,GERENTE DE ADMINISTRACION Y FINANZAS
72,COORDINADOR DE LA OFICINA DE ATENCION AL CIUDADANO
73,OPERADOR INTERURBANO
74,ASISTENTE DE PRESIDENCIA
75,OPERADOR URBANO
76,COORDINADOR DE DESARROLLO Y AUTOMATIZACION
77,SUPERVISOR DE SERVICIOS GENERALES
78,COORDINADOR DE GESTION DEL TALENTO HUMANO
79,GERENTE OPERACIONES OESTE 
80,COORDINADOR DE ADMINISTRACION Y FINANZAS
81,JEFE DE ADMINISTRACION DE FLOTA
82,SUPERVISOR DE OPERACIONES Y MANTENIMIENTO
83,ANALISTA DE PLANIFICACION
84,TECNICO ELECTROMECANICO
